,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Hobart,90,AU,1570602010,66,-42.88,147.33,52.59,10.29
1,Lukiv,100,UA,1570602610,10,51.05,25.4,46.0,17.02
2,Labuhan,0,ID,1570602610,31,-2.54,115.51,97.18,6.27
3,Saint-Philippe,1,CA,1570602050,93,45.36,-73.48,40.93,2.24
4,Upernavik,0,GL,1570602611,52,72.79,-56.15,30.46,7.0
5,Rikitea,99,PF,1570602611,81,-23.12,-134.97,67.44,11.24
6,Iqaluit,75,CA,1570602015,91,63.75,-68.52,33.35,0.67
7,Cockburn,6,AU,1570602612,24,-32.08,141.0,66.2,13.87
8,Lethem,100,GY,1570602110,81,3.38,-59.8,77.68,7.9
9,Yuanping,69,CN,1570602612,40,38.72,112.71,61.59,7.83
10,Cape,100,CL,1570602613,81,-36.41,-71.9,52.05,6.93
11,Sitka,73,US,1570602065,67,37.17,-99.65,59.52,18.01
12,Hithadhoo,83,MV,1570601996,75,-0.6,73.08,81.97,7.81
13,Kapaa,90,US,1570602029,88,22.08,-159.32,75.72,4.7
14,Georgetown,20,GY,1570602614,100,6.8,-58.16,75.2,2.24
15,Ocampo,0,MX,1570602614,77,27.32,-102.4,63.14,5.14
16,Lagoa,0,PT,1570601829,77,37.14,-8.45,65.7,6.93
17,Faanui,90,PF,1570602067,85,-16.48,-151.75,76.01,24.63
18,Chokurdakh,26,RU,1570602020,94,70.62,147.9,7.79,3.53
19,Taua,72,BR,1570602615,98,-3.62,-49.62,72.25,2.33
20,Busselton,100,AU,1570602050,30,-33.64,115.35,75.54,6.7
21,Baijiantan,31,CN,1570602615,21,45.63,85.18,76.64,2.74
22,Castro,90,CL,1570602043,100,-42.48,-73.76,46.4,6.93
23,Cahabon,82,GT,1570602616,98,15.57,-89.82,64.46,2.91
24,Cherskiy,96,RU,1570602616,95,68.75,161.3,12.9,3.58
25,Mailsi,0,PK,1570602616,19,29.8,72.18,96.84,2.03
26,Punta,75,PH,1570602035,59,14.18,121.12,87.75,8.05
27,Tuktoyaktuk,20,CA,1570602046,92,69.44,-133.03,26.6,8.05
28,Vila,90,IT,1570602617,87,45.18,8.4,56.7,4.7
29,Marsa,90,FR,1570602618,87,42.82,2.16,56.59,14.99
30,Doha,0,QA,1570602619,55,25.29,51.53,91.4,6.93
31,Riyadh,0,SA,1570601894,33,24.63,46.72,87.8,4.7
32,Wanaka,100,NZ,1570602619,90,-44.7,169.14,47.97,4.99
33,Bluff,0,AU,1570602036,17,-23.58,149.07,89.14,12.41
34,Mataura,100,NZ,1570602620,98,-46.19,168.86,51.01,1.01
35,Hasaki,20,JP,1570602071,53,35.73,140.83,76.05,8.05
36,Dunedin,100,NZ,1570602084,86,-45.87,170.5,51.01,3.0
37,Serenje,1,ZM,1570602621,36,-13.23,30.22,79.09,6.11
38,Dikson,57,RU,1570602622,85,73.51,80.55,23.11,19.26
39,Seoul,1,KR,1570602514,34,37.57,126.98,65.88,3.36
40,Kungurtug,88,RU,1570602623,72,50.6,97.53,41.69,8.5
41,Sainte-Anne-des-Monts,21,CA,1570602623,95,49.13,-66.49,34.7,3.15
42,Ahipara,97,NZ,1570602117,93,-35.17,173.16,64.99,13.07
43,Arraial,90,BR,1570602024,88,-22.84,-46.65,63.46,8.05
44,Togur,83,RU,1570602623,66,58.36,82.83,42.57,6.91
45,Cairns,54,AU,1570602550,69,-16.92,145.77,85.55,6.93
46,Kilindoni,100,TZ,1570602624,80,-7.91,39.67,79.87,16.58
47,Rio,1,US,1570602624,71,41.11,-90.4,50.94,7.45
48,Sinnamary,19,GF,1570602154,80,5.38,-52.96,81.16,17.08
49,Vaini,40,IN,1570602625,74,15.34,74.49,80.64,6.93
50,Hargeysa,52,SO,1570602626,68,9.56,44.06,71.33,7.87
51,Yatou,40,CM,1570602626,100,3.63,9.81,75.2,2.24
52,Tura,77,RU,1570602626,74,64.27,100.22,21.19,20.38
53,Leningradskiy,100,RU,1570602062,86,69.38,178.42,30.89,21.32
54,Kralendijk,99,BQ,1570602627,74,12.15,-68.27,84.2,12.75
55,Nanortalik,100,GL,1570602048,84,60.14,-45.24,39.82,2.93
56,Kavaratti,40,IN,1570602097,70,10.57,72.64,87.8,4.7
57,Qinggang,100,CN,1570602627,53,28.25,121.28,76.32,2.77
58,Bambous,75,MU,1570602032,47,-20.26,57.41,77.79,18.34
59,Tual,84,ID,1570602628,78,-5.67,132.75,80.6,8.25
60,Ngunguru,87,NZ,1570602628,85,-35.62,174.5,63.0,1.99
61,Vanimo,99,PG,1570602046,70,-2.67,141.3,84.11,12.39
62,San,28,ML,1570602083,70,13.3,-4.9,77.49,10.12
63,Egvekinot,81,RU,1570602629,88,66.32,-179.17,26.98,18.63
64,Sur,0,OM,1570602629,48,22.57,59.53,84.92,6.56
65,Thompson,75,CA,1570602629,69,55.74,-97.86,35.6,9.17
66,Pangody,97,RU,1570602630,69,65.85,74.49,37.99,17.72
67,Puerto,20,AR,1570602630,79,-51.62,-69.23,41.0,28.86
68,Butaritari,34,KI,1570602631,68,3.07,172.79,85.25,11.63
69,Okha,100,RU,1570602631,97,53.59,142.95,46.94,14.58
70,Bredasdorp,40,ZA,1570602042,67,-34.53,20.04,56.46,11.41
71,Avarua,100,CK,1570602575,60,-21.21,-159.78,69.8,6.93
72,Yurino,90,RU,1570602632,93,56.29,46.29,37.4,8.95
73,Deputatskiy,100,RU,1570602143,99,69.3,139.9,1.93,2.77
74,Sulangan,100,PH,1570602632,73,11.14,123.72,84.37,9.44
75,Broome,0,GB,1570602123,87,52.47,1.45,49.77,5.82
76,Hilo,20,US,1570602633,78,19.71,-155.08,67.98,4.7
77,Luz,98,BR,1570602633,90,-19.79,-45.68,67.84,7.31
